CustomerID,last_purchase,Recency,Frequency,Monetary,R_score,F_score,M_score,RFM_score,RFM_segment,cluster_kmeans,cluster_label
12347,2011-12-07 15:52:00,2,7,4310.0,5,3,5,13,VIP / High value,2,VIP / High value
12348,2011-09-25 13:13:00,75,4,1797.24,2,2,4,8,Occasional,0,Occasional
12349,2011-11-21 09:51:00,19,1,1757.55,4,1,4,9,Occasional,0,Occasional
12350,2011-02-02 16:01:00,310,1,334.4,1,1,2,4,At risk / Low value,1,At risk / Low value
12352,2011-11-03 14:37:00,36,11,1545.41,3,4,4,11,Loyal,2,VIP / High value
12353,2011-05-19 17:47:00,204,1,89.0,1,1,1,3,At risk / Low value,1,At risk / Low value
12354,2011-04-21 13:11:00,232,1,1079.4,1,1,4,6,At risk / Low value,1,At risk / Low value
12355,2011-05-09 13:49:00,214,1,459.4,1,1,2,4,At risk / Low value,1,At risk / Low value
12356,2011-11-17 08:40:00,23,3,2811.43,4,2,5,11,Loyal,0,Occasional
12357,2011-11-06 16:07:00,33,1,6207.67,3,1,5,9,Occasional,0,Occasional
12358,2011-12-08 10:26:00,2,2,1168.06,5,1,4,10,Loyal,0,Occasional
12359,2011-12-02 11:21:00,8,6,6182.9800000000005,5,3,5,13,VIP / High value,2,VIP / High value
12360,2011-10-18 15:22:00,52,3,2662.06,3,2,5,10,Loyal,0,Occasional
12361,2011-02-25 13:51:00,287,1,189.9,1,1,1,3,At risk / Low value,1,At risk / Low value
12362,2011-12-06 15:40:00,3,13,5154.58,5,4,5,14,VIP / High value,2,VIP / High value
12363,2011-08-22 10:18:00,110,2,552.0,2,1,3,6,At risk / Low value,3,Occasional
12364,2011-12-02 10:22:00,8,4,1313.1,5,2,4,11,Loyal,0,Occasional
12365,2011-02-21 14:04:00,291,3,320.69,1,2,2,5,At risk / Low value,1,At risk / Low value
12367,2011-12-05 16:48:00,4,1,168.9,5,1,1,7,Occasional,3,Occasional
12370,2011-10-19 14:51:00,51,4,3541.94,3,2,5,10,Loyal,0,Occasional
12371,2011-10-26 10:16:00,45,2,1887.96,3,1,4,8,Occasional,0,Occasional
12372,2011-09-29 12:12:00,72,3,1298.04,2,2,4,8,Occasional,0,Occasional
12373,2011-02-01 13:10:00,311,1,364.6,1,1,2,4,At risk / Low value,1,At risk / Low value
12374,2011-11-14 15:37:00,25,1,742.9300000000001,4,1,3,8,Occasional,3,Occasional
12375,2011-12-07 11:27:00,3,3,455.42,5,2,2,9,Occasional,3,Occasional
12377,2011-01-28 15:45:00,315,2,1628.12,1,1,4,6,At risk / Low value,1,At risk / Low value
12378,2011-08-02 10:34:00,130,1,4008.62,2,1,5,8,Occasional,0,Occasional
12379,2011-09-19 10:09:00,82,3,850.29,2,2,3,7,Occasional,0,Occasional
12380,2011-11-18 11:27:00,22,5,2720.56,4,3,5,12,Loyal,0,Occasional
12381,2011-12-05 12:44:00,5,6,1803.96,5,3,4,12,Loyal,0,Occasional
12383,2011-06-08 08:02:00,185,6,1839.31,1,3,4,8,Occasional,0,Occasional
12384,2011-11-11 08:39:00,29,3,566.16,4,2,3,9,Occasional,0,Occasional
12386,2011-01-06 12:37:00,338,2,401.9,1,1,2,4,At risk / Low value,1,At risk / Low value
12388,2011-11-24 12:30:00,16,6,2780.66,4,3,5,12,Loyal,0,Occasional
12390,2011-09-21 09:33:00,80,1,549.84,2,1,3,6,At risk / Low value,3,Occasional
12391,2011-11-18 12:07:00,22,1,439.66,4,1,2,7,Occasional,3,Occasional
12393,2011-09-28 15:41:00,72,4,1582.6000000000001,2,2,4,8,Occasional,0,Occasional
12394,2011-10-07 08:08:00,64,2,1272.48,3,1,4,8,Occasional,0,Occasional
12395,2011-11-24 12:20:00,16,15,2998.28,4,4,5,13,VIP / High value,2,VIP / High value
12397,2011-11-04 09:52:00,36,2,2409.9,3,1,5,9,Occasional,0,Occasional
12398,2011-10-25 10:27:00,46,1,1635.6599999999999,3,1,4,8,Occasional,0,Occasional
12399,2011-08-12 13:15:00,119,4,1108.65,2,2,4,8,Occasional,0,Occasional
12401,2011-02-09 13:50:00,303,1,84.3,1,1,1,3,At risk / Low value,1,At risk / Low value
