cluster_kmeans,StockCode,Description,transactions_count,quantity_sold,revenue
0,22502,PICNIC BASKET WICKER 60 PIECES,2,61,39619.5
0,POST,POSTAGE,416,1093,26494.27
0,22423,REGENCY CAKESTAND 3 TIER,610,1787,22033.65
0,85123A,WHITE HANGING HEART T-LIGHT HOLDER,701,7241,20170.15
0,47566,PARTY BUNTING,467,4096,18896.5
0,85099B,JUMBO BAG RED RETROSPOT,453,8686,16604.88
0,84879,ASSORTED COLOUR BIRD ORNAMENT,524,8932,14864.68
0,22086,PAPER CHAIN KIT 50'S CHRISTMAS ,389,5199,14217.050000000001
0,23084,RABBIT NIGHT LIGHT,293,7222,13340.05
0,79321,CHILLI LIGHTS,118,2343,11068.25
0,23298,SPOTTY BUNTING,376,2082,10065.900000000001
0,22457,NATURAL SLATE HEART CHALKBOARD ,392,3474,9808.300000000001
0,22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,282,3153,8681.35
0,23355,HOT WATER BOTTLE KEEP CALM,275,1780,8254.2
0,22960,JAM MAKING SET WITH JARS,346,1914,7757.75
0,22138,BAKING SET 9 PIECE RETROSPOT ,349,1460,7008.6
0,23284,DOORMAT KEEP CALM AND COME IN,195,905,6731.91
0,22720,SET OF 3 CAKE TINS PANTRY DESIGN ,384,1356,6555.400000000001
0,22112,CHOCOLATE HOT WATER BOTTLE,228,1372,6371.400000000001
0,22469,HEART OF WICKER SMALL,370,3812,6113.799999999999
0,22111,SCOTTIE DOG HOT WATER BOTTLE,283,1271,6073.05
0,20725,LUNCH BAG RED RETROSPOT,376,3720,6028.0
0,22139,RETROSPOT TEA SET CERAMIC 11 PC ,296,1236,6027.200000000001
0,21137,BLACK RECORD COVER FRAME,92,1744,6015.84
0,22961,JAM MAKING SET PRINTED,307,4084,5855.799999999999
0,22727,ALARM CLOCK BAKELIKE RED ,249,1675,5774.05
0,22413,METAL SIGN TAKE IT OR LEAVE IT ,135,1975,5545.45
0,22386,JUMBO BAG PINK POLKADOT,238,2788,5494.24
0,48138,DOORMAT UNION FLAG,170,696,5319.9
0,21754,HOME BUILDING BLOCK WORD,246,891,5304.450000000001
0,22470,HEART OF WICKER LARGE,310,1810,5211.500000000001
0,22178,VICTORIAN GLASS HANGING T-LIGHT,258,3817,5201.21
0,23245,SET OF 3 REGENCY CAKE TINS,251,1060,5125.400000000001
0,22411,JUMBO SHOPPER VINTAGE RED PAISLEY,233,2469,4829.5
0,15056N,EDWARDIAN PARASOL NATURAL,79,902,4826.900000000001
0,85066,CREAM SWEETHEART MINI CHEST,177,381,4825.35
0,23201,JUMBO BAG ALPHABET,208,2393,4787.84
0,23077,DOUGHNUT LIP GLOSS ,140,3856,4778.0
0,23199,JUMBO BAG APPLES,193,2399,4769.72
0,82482,WOODEN PICTURE FRAME WHITE FINISH,302,1817,4749.55
0,21621,VINTAGE UNION JACK BUNTING,129,551,4683.5
0,22383,LUNCH BAG SUKI DESIGN ,280,2878,4668.7
0,23344,JUMBO BAG 50'S CHRISTMAS ,205,2294,4655.52
0,82494L,WOODEN FRAME ANTIQUE WHITE ,269,1615,4639.450000000001
0,22865,HAND WARMER OWL DESIGN,192,2286,4608.6
0,20728,LUNCH BAG CARS BLUE,316,2820,4605.4
0,22699,ROSES REGENCY TEACUP AND SAUCER ,247,1622,4592.900000000001
0,23313,VINTAGE CHRISTMAS BUNTING,125,965,4576.75
0,20727,LUNCH BAG  BLACK SKULL.,339,2800,4567.6
0,22326,ROUND SNACK BOXES SET OF4 WOODLAND ,202,1559,4522.250000000001
0,23202,JUMBO BAG VINTAGE LEAF,209,2288,4518.9400000000005
0,21181,PLEASE ONE PERSON METAL SIGN,221,2187,4475.700000000001
0,22382,LUNCH BAG SPACEBOY DESIGN ,314,2750,4457.5
0,85099F,JUMBO BAG STRAWBERRY,169,2292,4429.61
0,22083,PAPER CHAIN KIT RETROSPOT,170,1565,4392.75
0,23203,JUMBO BAG VINTAGE DOILY ,196,2180,4360.400000000001
0,22969,HOMEMADE JAM SCENTED CANDLES,212,2997,4326.45
0,84947,ANTIQUE SILVER TEA GLASS ENGRAVED,123,3825,4287.4400000000005
0,22077,6 RIBBONS RUSTIC CHARM,234,2410,4266.299999999999
0,22835,HOT WATER BOTTLE I AM SO POORLY,186,894,4265.1
0,22384,LUNCH BAG PINK POLKADOT,297,2588,4230.2
0,21931,JUMBO STORAGE BAG SUKI,199,2152,4215.83
0,85099C,JUMBO  BAG BAROQUE BLACK WHITE,183,2183,4213.77
0,20914,SET/5 RED RETROSPOT LID GLASS BOWLS,222,1477,4161.95
0,22084,PAPER CHAIN KIT EMPIRE,134,1496,4153.2
0,21175,GIN + TONIC DIET METAL SIGN,212,1670,4138.23
